"Rank","Song","Artist","Year","Lyrics","Source"
"8","we found love","rihanna featuring calvin harris","2012","  yellow diamonds in the light i was standing side by side as your shadow crosses mine what it takes to come aliveits the way im feeling i just cant deny but ive gotta let it gowe found love in a hopeless place we found love in a hopeless place we found love in a hopeless place we found love in a hopeless place    related           the 18 greatest revenge songs of all time       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           shine a light through an open door love and life i will divide turn away cause i need you more feel the heartbeat in my mindits the way im feeling i just cant deny but ive gotta let it gowe found love in a hopeless place we found love in a hopeless place we found love in a hopeless place we found love in a hopeless placeyellow diamonds in the light i was standing side by side as your shadow crosses minewe found love in a hopeless place we found love in a hopeless place we found love in a hopeless place we found love in a hopeless place    photos                                   we found love in a hopeless place we found love in a hopeless place we found love in a hopeless place we found love in a hopeless place          ",1
"9","starships","nicki minaj","2012","  redonelets go to the beach each lets go get a wave they say what they gonna say have a drink clink found the bud light bad bitches like me is hard to come bythe patron own lets go get it on the zone own yes im in the zone is it two three leave a good tip ima blow all my money and dont give two shitsim on the floor floor i love to dance so give me more more til i cant stand get on the floor floor like its your last chance if you want more more then here i am   related           27 best ever songs from movie soundtracks       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           starships were meant to fly hands up and touch the sky cant stop cause were so high lets do this one more time ohstarships were meant to fly hands up and touch the sky lets do this one last time cant stopwere higher than a motherfucker were higher than a motherfucker were higher than a motherfuckerjump in my hooptie hooptie hoop i own that and i aint paying my rent this month i owe that but fuck who you want and fuck who you like thats our life theres no end in sighttwinkle twinkle little star    photos                                   now everybody let me hear you say ray ray ray now spend all your money cause todays pay day and if youre a g you a g g g my name is onika you can call me nickiget on the floor floor like its your last chance if you want more more then here i amstarships were meant to fly hands up and touch the sky cant stop cause were so high lets do this one more time ohstarships were meant to fly hands up and touch the sky lets do this one last time cant stopwere higher than a motherfucker were higher than a motherfucker were higher than a motherfuckerstarships were meant to fly hands up and touch the sky cant stop cause were so high lets do this one more time ohstarships were meant to fly hands up and touch the sky lets do this one last time cant stopwere higher than a motherfucker were higher than a motherfucker were higher than a motherfucker         ",1
"10","what makes you beautiful","one direction","2012","  youre insecure dont know what for youre turning heads when you walk through the door dont need makeup to cover up being the way that you are is enougheveryone else in the room can see it everyone else but youbaby you light up my world like nobody else the way that you flip your hair gets me overwhelmed but when you smile at the ground it aint hard to tell you dont know oh oh you dont know youre beautiful if only you saw what i can see youd understand why i want you so desperately right now im looking at you and i cant believe you dont know oh oh you dont know youre beautiful oh oh thats what makes you beautiful   related           15 huge stars who were backup singers first       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           so ccome on you got it wrong to prove im right i put it in a song i dont know why youre being shy and turn away when i look into your eyeeyeeyeseveryone else in the room can see it everyone else but youbaby you light up my world like nobody else the way that you flip your hair gets me overwhelmed but when you smile at the ground it aint hard to tell you dont know oh oh you dont know youre beautiful if only you saw what i can see youll understand why i want you so desperately right now im looking at you and i cant believe you dont know oh oh you dont know youre beautiful oh oh    photos                                   thats what makes you beautifulna na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na nababy you light up my world like nobody else the way that you flip your hair gets me overwhelmed but when you smile at the ground it aint hard to tellyou dont know oh oh you dont know youre beautifulbaby you light up my world like nobody else the way that you flip your hair gets me overwhelmed but when you smile at the ground it aint hard to tell you dont know oh oh you dont know youre beautiful oh if only you saw what i can see youll understand why i want you so desperately desperately right now im looking at you and i cant believe you dont know oh oh you dont know youre beautiful oh oh you dont know youre beautiful oh ohthats what makes you beautiful         ",1
"11","wild ones","flo rida featuring sia","2012","  hey i heard you were a wild one oooh if i took you home and be your home run show me how youll do i want to shut down the club with you hey i heard you like the wild ones ooohi like crazy foolish stupid party going wild fist pumping music i might lose it blast through the roof thats how we dos it dos it dos iti dont care tonight she dont care we like almost there the right vibe ready to get live aint no surprise take me so high jumping those doubts surfin the crowd   related           11 delicious misheard lyrics about food       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           oooh oooh said i gotta be the man im the head of my fam mike check one two oooh shut them down in the club when the playboy doesand they all get loose loose out the bottle we all get bent and again tomorrow gotta break rules cause thats the motto club shut down a hundred supermodelshey i heard you were a wild one oooh if i took you home and be your home run show me how youll do i want to shut down the club with you hey i heard you like the wild ones ooohparty rocker fo sho stopper more shampoo number one club popper got a hangover like too much vodka cant see me with ten binoculars    photos                                   so cool no doubt by the end of the night got the clothes coming off then i make that move somehow someway gotta raise the roof roof all black shades when the sun come throughoh its on like everything goes riled up baby to the freaky show what happens to that body its a private show stays right here private showi like em untamed dont tell me bout pain tell em this bottoms up with the champagne my life coming harder than we hit play do you busy with the bail were you insanehey i heard you were a wild one oooh if i took you home and be your home run show me how youll do i want to shut down the club with you hey i heard you like the wild ones ooohi am a wild one break me in saddle me up and lets begin i am a wild one tame me now running with wolves and im on the prowli show you another side of me a side you would never thought youd see tear up that body dominatrix till you had enough i heard you like wilds dont liehey i heard you were a wild one oooh if i took you home and be your home run show me how youll do i want to shut down the club with you hey i heard you like the wild ones ooohi am a wild one break me in saddle me up and lets begin i am a wild one tame me now running with wolves and im on the prowl         ",1
"12","set fire to the rain","adele","2012","  i let it fall my heart and as it fell you rose to claim it it was dark and i was over until you kissed my lips and you saved me my hands they were strong but my knees were far too weak to stand in your arms without falling to your feet but theres a side to you that i never knew never knew all the things youd say they were never true never true and the games youd play you would always win always winbut i set fire to the rain watched it pour as i touched your face well it burned while i cried cause i heard it screaming out your name your name   related           songs you love if you love nerds       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           when laying with you i could stay there close my eyes feel you here forever you and me together nothing is better cause theres a side to you that i never knew never knew all the things youd say they were never true never true and the games yous play you would always win always winbut i set fire to the rain watched it pour as i touched your face well it burned while i cried cause i heard it screaming out your name your name i set fire to the rain and i threw us into the flames when we fell something died cause i knew that that was the last time the last timesometimes i wake up by the door that heart you caught must be waiting for you even now when were already over i cant help myself from looking for you    photos                                   i set fire to the rain watched it pour as i touch your face well it burned while i cried cause i heard it screaming out your name your name i set fire to the rain and i threw us into the flames when we fell something died cause i knew that that was the last time the last time oh oh no let it burn oh let it burn let it burn          ",1
"13","sexy and i know it","lmfao","2012","  when i walk on by girls be looking like damn he fly i pay to the beat walking on the street with in my new lafreak yeah this is how i roll animal print pants out control its real fool with the big f o they like bruce lee rock at the clubgirl look at that body girl look at that body girl look at that body i work out girl look at that body girl look at that body girl look at that body i work out   related           match these taylor swift songs to her exboyfriends       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           when i walk in the spot this is what i see everybody stops and they staring at me i got passion in my pants and i aint afraid to show it show it show it show itim sexy and i know it im sexy and i know itwhen im at the moss purity just cant fight them up when im at the beach im in a speedo trying to tan my cheeks this is how i roll come on ladies its time to go we hit it to the bar baby dont be nervous no shows no shirt and i still get servicedgirl look at that body girl look at that body girl look at that body i work out girl look at that body girl look at that body girl look at that body i work out    photos                                   when i walk in the spot this is what i see everybody stops and they staring at me i got passion in my pants and i aint afraid to show it show it show it show itim sexy and i know it im sexy and i know itcheck it out  im sexy and i know itgirl look at that body girl look at that body girl look at that body i work out girl look at that body girl look at that body girl look at that body i work out  im sexy and i know it          ",1
"14","some nights","fun","2012","  some nights i stay up cashing in my bad luck some nights i call it a draw some nights i wish that my lips could build a castle some nights i wish theyd just fall offbut i still wake up i still see your ghost oh lord im still not sure what i stand for ohohwoah what do i stand for ohwoah what do i stand for most nights i dont know anymoreoh ohwoah ohwhoah oh oh ohwoah ohwhoah ohthis is it boys this is war what are we waiting for why dont we break the rules already i was never one to believe the hype save that for the black and white i try twice as hard and im half as liked but here they come again to jack my style   related           18 nontraditional yet perfect wedding songs       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           thats alright thats alright i found a martyr in my bed tonight she stops my bones from wondering just who i am who i am who i am oh who am i mmh mmhwell some nights i wish that this all would end cause i could use some friends for a change and some nights im scared youll forget me again some nights i always win i always winbut i still wake up i still see your ghost oh lord im still not sure what i stand for ohohwoah what do i stand for ohwoah what do i stand for most nights i dont know oh come onso this is it i sold my soul for this washed my hands and i died for this i miss my mom and dad for this no come on    photos                                   when i see stars when i see when i see stars thats all they are when i hear songsthey sound like a swan so come on oh come on oh come on oh come onwell that is it guys that is all five minutes in and im bored again ten years of this im not sure if anybody understandsthis one is not for the folks at home sorry to leave mom i had to go who the fuck wants to die alone all dried up in the desert sunmy heart is breaking for my sister and the con that she called love when i look into my nephews eyes man you wouldnt believe the most amazing things that can come from some terrible liesoh ohwoah ohwhoah oh oh ohwoah ohwhoah ohthe other night you wouldnt believe the dream i just had about you and me i called you up but wed both agreeits for the best you didnt listen its for the best we get our distance oh its for the best you didnt listen its for the best we get our distance oh          ",1
"15","wide awake","katy perry","2012","  im wide awake im wide awakeim wide awake yeah i was in the dark i was falling hard with an open heart im wide awake how did i read the stars so wrong im wide awake and now its clear to me that everything you see aint always what it seems im wide awake yeah i was dreaming for so long   related           27 best ever songs from movie soundtracks       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           i wish i knew then what i know now wouldnt dive in wouldnt bow down gravity hurts you made it so sweet til i woke up on on the concretefalling from cloud nine crashing from the high im letting go tonight yeah im falling from cloud nineim wide awake not losing any sleep i picked up every piece and landed on my feet im wide awake need nothing to complete myself no    photos                                   im wide awake yeah i am born again out of the lions den i dont have to pretend and its too late the storys over now the endi wish i knew then what i know now wouldnt dive in wouldnt bow down gravity hurts you made it so sweet til i woke up on on the concretefalling from cloud nine it was out of the blue im crashing from the high im letting go tonight yeah im letting you go im falling from cloud nineim wide awake thunder rumbling castles crumbling im wide awake i am trying to hold on im wide awake god knows that i tried seeing the bright side im wide awake im not blind anymoreim wide awake im wide awakeyeah im falling from cloud nine it was out of the blue im crashing from the high you know im letting go tonight yeah im letting you go im im falling from cloud nineim wide awake im wide awake im wide awake im wide awake im wide awake         ",1
"16","good feeling","flo rida","2012","  oh sometimes i get a good feeling yeah get a feeling that i never never never never had before no no i get a good feeling yeah oh sometimes i get a good feeling yeah get a feeling that i never never never never had before no no i get a good feeling yeahyes i can doubt to believe what i know whats his plan pull me grab me grab till the bucket cant have me ill be the president one day january first oh you like that gossip like you the one drinking that god sip dot com now i gotta work with your tone how many rolling stones you want yeah i got a brand new spirit picking it when its done woke up on the side of the bed like i won top like a winner g5 dealer us to taiwan now who can say that i wanna play back mama knew i was a needle in a hay stack a bugatti boy plus maybachi got a feeling its around asap   related           11 delicious misheard lyrics about food       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           oh sometimes i get a good feeling yeah get a feeling that i never never never never had before no no i get a good feeling yeah oh sometimes i get a good feeling yeahget a feeling that i never never never never had before no no i get a good feeling yeahthe mountain top walk on water i got power feel so royal one second ima strike oil diamond platinum no more gotta drill a land never giving in never giving in giving ups not an option and gotta get it in witness i got the heart of 20 men no fear go to sleep in the lions den that flow that funk that crown you looking at the king of the jungle now stronger ever cant hold me down a hundred miles going from the  smile straight game face its game day    photos                                   see me wanna do the drop from may lay no trick plays im bill gates take a genius to understand me oh sometimes i get a good feeling yeahget a feeling that i never never never never had before no no i get a good feeling yeahoh sometimes i get a good feeling yeah get a feeling that i never never never never had before no no i get a good feeling yeah got feeling got feelingi know you got a good feeeling lets kidding lets kidding gotta love the live that we livinglets kidding lets kidding i know you got a good feeling lets kidding lets kidding gotta love the live that we living oh sometimes i get a good feeling yeah get a feeling that i never never never never had before no no i get a good feeling yeah oh sometimes i get a good feeling yeah get a feeling that i never never never never had before no no i get a good feeling yeah sometimes i get a good feeling         ",1
"17","whistle","flo rida","2012","  can you blow my whistle baby whistle baby let me know girl im gonna show you how to do it and we start real slow you just put your lips together and you come real close can you blow my whistle baby whistle baby here we goim betting you like bebop kind of music and im betting you love freak mode and im betting you like girls that give love to girls and stroke your little egoi bet you im guilty your honor thats just how we live in my genre went to hell and paid the rottweiler theres only one flo and one rida   related           the 18 greatest revenge songs of all time       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           im a damn shame order more champagne pulled a damn ham string trying to put it on ya bet your lips spin back around corner slow it down baby take a little longercan you blow my whistle baby whistle baby let me know girl im gonna show you how to do it and we start real slowyou just put your lips together and you come real close can you blow my whistle baby whistle baby here we gowhistle baby whistle baby whistle baby whistle baby whistle baby whistle baby whistle baby whistle baby    photos                                   its like everywhere i go my whistle ready to flow shorty dont even know she can get any by the low tell me she not a pro its okay its under control show me soprano cause girl you can handlebaby we start snagging you come up in part clothes girl im losing wing my bugatti the same road show me your perfect pitch you got it my banjo talented with your lips like you blew out a candleso amusing now you can make a whistle with the music hope you aint got no issue you can do it give me the perfect pitch you never lose itcan you blow my whistle baby whistle baby let me know girl im gonna show you how to do it and we start real slowyou just put your lips together and you come real close can you blow my whistle baby whistle baby here we gowhistle baby whistle baby whistle baby whistle baby whistle baby whistle baby whistle baby whistle babygo on girl you can perk it let me see your whistle while you work it ima lay it back dont stop it cause i love it how you drop it drop it drop it on menow shorty let that whistle blow yeah baby make that whistle blowcan you blow my whistle baby whistle baby let me know girl im gonna show you how to do it and we start real slowyou just put your lips together and you come real close can you blow my whistle baby whistle baby here we gocan you blow my whistle baby whistle baby whistle baby whistle baby whistle babycan you blow my whistle baby whistle baby whistle baby whistle baby whistle babycan you blow my whistle baby whistle baby whistle baby whistle baby whistle babycan you blow my whistle baby whistle baby whistle baby whistle baby whistle baby         ",1
"18","one more night","maroon 5","2012","  you and i go hard at each other like were going to war you and i go rough we keep throwing things and slamming the door you and i get so damn dysfunctional we start keeping score you and i get sick yeah i know that we cant do this no moreyeah but baby there you go again there you go again making me love you yeah i stopped using my head using my head let it all go got you stuck on my body on my body like a tattoo and now im feeling stupid feeling stupid crawling back to youso i cross my heart and i hope to die that ill only stay with you one more night and i know i said it a million times but ill only stay with you one more nighttry to tell you no but my body keeps on telling you yes try to tell you stop but your lipstick got me so out of breath ill be waking up in the morning probably hating myself and ill be waking up feeling satisfied but guilty as hell   related           18 nontraditional yet perfect wedding songs       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           yeah but baby there you go again there you go again making me love you yeah i stopped using my head using my head let it all go got you stuck on my body on my body like a tattoo and now im feeling stupid feeling stupid crawling back to youso i cross my heart and i hope to die yeah that ill only stay with you one more night oh and i know i said it a million times yeah but ill only stay with you one more night yeahyeah baby give me one more night yeah baby give me one more night whoa yeah yeah baby give me one more night oh yeahyeah but baby there you go again there you go again making me love you yeah i stopped using my head using my head let it all go got you stuck on my body on my body like a tattoo yeah yeah yeah yeah    photos                                   so i cross my heart and i hope to die that ill only stay with you one more night and i know i said it a million times but ill only stay with you one more nightso i cross my heart and i hope to die yeah yeah that ill only stay with you one more night yeah yeah and i know i said it a million times yeah yeah but ill only stay with you one more night yeah yeah i dont know whatever          ",1
"19","drive by","train","2012","  on the other side of a street i knew stood a girl that looked like you i guess thats deja vu but i thought this cant be true cause you moved to west la or new york or santa fe or wherever to get away from meoh but that one night was more than just right i didnt leave you cause i was all through oh i was overwhelmed and frankly scared as hell because i really fell for you   related           23 one hit wonders you still cant get out of your head       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           oh i swear to you ill be there for you this is not a drive by just a shy guy looking for a twoply hefty bag to hold my love when you move me everything is groovy they dont like it sue me mmm the way you do me oh i swear to you ill be there for you this is not a drive byon the upside of a downward spiral my love for you went viral and i loved you every mile you drove away but now here you are again so lets skip the how you been and get down to the more than friends at last    photos                                   oh but that one night is still the highlight i didnt need you until i came to and i was overwhelmed and frankly scared as hell because i really fell for youoh i swear to you ill be there for you this is not a drive by just a shy guy looking for a twoply hefty bag to hold my love when you move me everything is groovy they dont like it sue me mmm the way you do me oh i swear to you ill be there for you this is not a drive byplease believe that when i leave theres nothing up my sleeve but love for you and a little time to get my head together tooon the other side of a street i knew stood a girl that looked like you i guess thats deja vu but i thought this cant be true causeoh i swear to you ill be there for you this is not a drive by just a shy guy looking for a twoply hefty bag to hold my love when you move me everything is groovy they dont like it sue me mmm the way you do me oh i swear to you ill be there for you this is not a drive by         ",1
"20","the motto","drake featuring lil wayne","2012","  im the fuckin man you dont get it do ya type of money everybody acting like they knew ya go uptown new york city biiitch some spanish girls love me like im aventura tell uncle luke im out in miami too clubbing hard fuckin women aint much to dowrist blang got a condo up in biscayne still getting brain from a thang aint shit changed how you feel how you feel how you feel twenty five sittin on 25 mil uhh im in the building and im feeling myself rest in peace mac dre imma do it for the bay okay getting paid well holla whenever that stop my team good we dont really need a mascot tell tune light one pass it like a relay ymcmb you niggas more ymca me freddie marley marl at the cribbo shout goes out to niko jay and chubbo shout to gibo we got santa margarita by the liter she know even if im fuckin with her i dont really need her aohhh thats how you feel man thats really how you feel cause the pimpin ice cold all these bitches wanna chill i mean maybe she wont then again maybe she will i can almost guarantee she know the deal real nigga whats up   related           the 18 greatest revenge songs of all time       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           now she want a photo you already know though you only live once thats the motto nigga yolo and we bout it every day every day every day like we sittin on the bench nigga we dont really play every day every day fuck what anybody say cant see em cause the money in the way real nigga whats upone time fuck one time im calling niggas out like the umpire seven grams in the blunt almost drowned in her pussy so i swam to her butt its eastside we in this bitch wish a nigga would like a tree in this bitch and if a leaf fall put some weed in that bitch thats my mo add a b to that shit im fucked up torn down im twisted door knob talk stupid off with your head nigga money talks and mr ed yea im so young money got a drum on the gun energizer bunny funny how honey aint sweet like sugar aint shit sweet niggas on the street like hookers i tongue kiss her other tongue skeet skeet skeet water gun oh my god becky look at her butt tunechi    photos                                   now she want a photo you already know though you only live once thats the motto nigga yolo and we bout it every day every day every day like we sittin on the bench nigga we dont really play every day every day fuck what anybody say cant see em cause the money in the way real nigga whats up whats up whats upt raw skinny nigga big balls fuck around get dragged ru paul you a funny little nigga duval out of this world total recall call a bitch raw dick let her seesaw sorta like a donkey like an ass nigga hehaw ridin round in the rari with the top off while you in the window man im probably on my next car ay mighty duck with the ice on real la nigga trucks with the gun drawn drawin on your face you a clown jack in the box boy thats your bop she my new poom poom star stars in the back and my homies they dont act actin brand new fuck her never call her back matt forte got the bitch running back man thats the motto you aint know its like thatnow she want a photo you already know though you only live once thats the motto nigga yolo and we bout it every day every day every day like we sittin on the bench nigga we dont really play every day every day fuck what anybody say cant see em cause the money in the way real nigga whats up whats up whats up real nigga whats up real nigga whats up now she want a photo you already know though you only live once thats the motto nigga yolo and we bout it every day every day every day like we sittin on the bench nigga we dont really play every day every day fuck what anybody say cant see em cause the money in the way real nigga whats up         ",1
"21","where have you been","rihanna","2012","  ive been everywhere man looking for someone someone who can please me love me all night longive been everywhere man looking for you babe looking for you babe searching for you babewhere have you been cause i never see you out are you hiding from me yeah somewhere in the crowdyeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah   related           26 best breakup songs of all time       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           where have you been all my life all my lifewhere have you been all my life where have you been all my life where have you been all my life where have you been all my lifeive been everywhere man looking for someone someone who can please me love me all night longive been everywhere man looking for you babe looking for you babe searching for you babewhere have you been cause i never see you out are you hiding from me yeah somewhere in the crowd    photos                                   yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahwhere have you been all my life all my lifewhere have you been all my life where have you been all my life where have you been all my life where have you been all my lifewhere have you been all my lifeyou can have me all you want anyway anyday just show me where you are tonightyeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeahive been everywhere man looking for someone someone who can please me love me all night longive been everywhere man looking for you babe looking for you babe searching for you babe         ",1
"22","everybody talks","neon trees","2012","  hey baby wont you look my way i can be your new addiction hey baby what you gotta say all youre giving me is fiction im a sorry sucker and this happens all the time i found out that everybody talks everybody talks everybody talksit started with a whisper and that was when i kissed her and then she made my lips hurt i could hear the chit chat take me to your love shack mamas always gotta back track when everybody talks back   related           23 one hit wonders you still cant get out of your head       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           hey honey you could be my drug you could be my new prescription too much could be an overdose all this trash talk make me itchin oh my my everybody talks everybody talks everybody talks too muchit started with a whisper and that was when i kissed her and then she made my lips hurt i could hear the chit chat take me to your love shack mamas always gotta back track when everybody talks backnever thought id live to see the day when everybodys words got in the way    photos                                    hey sugar show me all your loveall youre giving me is friction hey sugar what you gotta say it started with a whisper and that was when i kissed her and then she made my lips hurt i could hear the chit chat take me to your love shackmamas always gotta back track when everybody talks back everybody talks everybody talks everybody talks everybody talks everybody talks everybody talks back it started with a whisper and that was when i kissed her everybody talks everybody talks back         ",1
"23","take care","drake featuring rihanna","2012","  i know youve been hurt by someone else i can tell by the way you carry yourself if you let me heres what ill do ill take care of you ive loved and ive lostive asked about you and they told me things but my mind didnt change and i still feel the same whats a life with no fun please dont be so ashamed ive had mine youve had yours we both know we know they wont get you like i will my only wish is i die real cause that truth hurts and those lies heal and you cant sleep thinking that he lies still so you cry still tears all on the pillowcase big girls all get a little taste pushing me away so i give her space dealing with a heart that i didnt break i be there for you i will care for you i keep thinking you just dont know tryna run from that say you done with that on your face girl it just dont show when youre ready just say youre ready when all the baggage just aint as heavy and the partys over just dont forget me well change the pace and well just go slow you wont ever have to worry you wont ever have to hide youve seen all my mistakes so look me in my eyes   related           15 huge stars who were backup singers first       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           i know youve been hurt by someone else i can tell by the way you carry yourself if you let me heres what ill do ill take care of you ive loved and ive lostits my birthday ill get high if i want to cant deny that i want you but ill lie if i have to cause you dont say you love me to your friends when they ask you even though we both know that you do you do one time been in love one time you and all your girls in the club one time all so convinced that youre following your heart cause your mind dont control what it does sometimes we all have our nights though dont be so ashamed ive had mine youve had yours we both know we know you hate being alone well you aint the only one you hate the fact that you bought the dream and they sold you one you love your friends but somebody shouldve told you some to save you instead they say    photos                                   dont tell me i dont care if you hurt i dont tell you you dont care if youre truei know youve been hurt by someone else i can tell by the way you carry yourself if you let me heres what ill do ill take care of you ive loved and ive lost          ",1
"24","titanium","david guetta featuring sia","2012","  you shout it out but i cant hear a word you say im talking loud not saying muchim criticized but all your bullets ricochet shoot me down but i get upim bulletproof nothing to lose fire away fire away ricochet you take your aim fire away fire awayyou shoot me down but i wont fall i am titanium you shoot me down but i wont fall i am titaniumcut me down but its you wholl have further to fall ghost town and haunted love   related           15 huge stars who were backup singers first       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           raise your voice sticks and stones may break my bones talking loud not saying muchim bulletproof nothing to lose fire away fire away ricochet you take your aim fire away fire awayyou shoot me down but i wont fall i am titanium you shoot me down but i wont fall i am titaniumi am titanium i am titaniumstonehard machine gun firing at the ones who run stonehard as bulletproof glass    photos                                   you shoot me down but i wont fall i am titanium you shoot me down but i wont fall i am titanium you shoot me down but i wont fall i am titanium you shoot me down but i wont fall i am titaniumi am titanium          ",1
"25","i wont give up","jason mraz","2012","  when i look into your eyes its like watching the night sky or a beautiful sunrise theres so much they holdand just like them old stars i see that youve come so far to be right where you are how old is your souli wont give up on us even if the skies get rough im giving you all my love im still looking up   related           27 best ever songs from movie soundtracks       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           and when youre needing your space to do some navigating ill be here patiently waiting to see what you findcause even the stars they burn some even fall to the earth weve got a lot to learn god knows were worth it no i wont give upi dont wanna be someone who walks away so easily im here to stay and make the difference that i can make our differences they do a lot to teach us how to use the tools and gifts we got yeah we got a lot at stakeand in the end youre still my friend at least we did intend for us to work we didnt break we didnt burn we had to learn how to bend without the world caving in i had to learn what ive got and what im not and who i am    photos                                   i wont give up on us even if the skies get rough im giving you all my love im still looking up still looking upi wont give up on us no im not giving up god knows im tough enough i am tough i am loved weve got a lot to learn were alive we are loved god knows were worth it and were worth iti wont give up on us even if the skies get rough im giving you all my love im still looking up          ",1
"26","it will rain","bruno mars","2012","  if you ever leave me baby leave some morphine at my door cause it would take a whole lot of medication to realize what we used to have we dont have it anymoretheres no religion that could save me no matter how long my knees are on the floor so keep in mind all the sacrifices im making to keep you by my side to keep you from walkin out the doorcause therell be no sunlight if i lose you baby therell be no clear skies if i lose you baby just like the clouds my eyes will do the same if you walk away everyday itll rain rain raaaain   related           27 best ever songs from movie soundtracks       listen to taylor swifts new song call it what you want       watch sam smith and fifth harmony join james corden for carpool karaoke           ill never be your mothers favorite your daddy cant even look me in the eye ooh if i was in their shoes id be doing the same thing sayin there goes my little girl walkin with that troublesome guybut theyre just afraid of something they cant understand ooh but little darlin watch me change their minds yeah for you ill try ill try ill try ill try and pick up these broken pieces til im bleeding if thatll make you minecause therell be no sunlight if i lose you baby therell be no clear skies if i lose you baby just like the clouds my eyes will do the same if you walk away everyday itll rain rain raaaain    photos                                   oh dont you say dont you say goodbye goodbye dont you say dont you say goodbye goodbye ill pick up these broken pieces til im bleeding if thatll make it rightcause therell be no sunlight if i lose you baby therell be no clear skies if i lose you baby and just like the clouds my eyes will do the same if you walk away everyday itll rain rain raaaain          ",1
